date,market,channel,currency,fx_rate_from_eur,spend,impressions,clicks,new_customers
2024-01-04,fr,google,EUR,1.0,1.45,70,1,0
2024-01-04,fr,meta,EUR,1.0,3.96,493,9,0
2024-01-04,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-05,at,direct,EUR,1.0,0.00,0,0,0
2024-01-05,at,email,EUR,1.0,0.03,26,2,0
2024-01-05,at,google,EUR,1.0,0.37,15,0,0
2024-01-05,at,meta,EUR,1.0,2.39,292,3,0
2024-01-05,at,organic,EUR,1.0,0.00,0,0,0
2024-01-05,de,direct,EUR,1.0,0.00,0,0,0
2024-01-05,de,email,EUR,1.0,0.11,59,2,0
2024-01-05,de,google,EUR,1.0,3.64,160,10,0
2024-01-05,de,meta,EUR,1.0,16.96,2231,35,0
2024-01-05,de,organic,EUR,1.0,0.00,0,0,0
2024-01-05,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-05,fr,email,EUR,1.0,0.13,155,4,0
2024-01-05,fr,google,EUR,1.0,1.11,42,1,0
2024-01-05,fr,meta,EUR,1.0,10.72,1106,20,0
2024-01-05,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-06,at,direct,EUR,1.0,0.00,0,0,0
2024-01-06,at,email,EUR,1.0,0.04,25,1,0
2024-01-06,at,google,EUR,1.0,0.37,11,0,0
2024-01-06,at,meta,EUR,1.0,2.73,278,2,0
2024-01-06,at,organic,EUR,1.0,0.00,0,0,0
2024-01-06,de,direct,EUR,1.0,0.00,0,0,0
2024-01-06,de,email,EUR,1.0,0.13,69,0,0
2024-01-06,de,google,EUR,1.0,1.50,53,0,0
2024-01-06,de,meta,EUR,1.0,18.52,2901,26,0
2024-01-06,de,organic,EUR,1.0,0.00,0,0,0
2024-01-06,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-06,fr,email,EUR,1.0,0.20,114,2,0
2024-01-06,fr,google,EUR,1.0,2.86,101,4,0
2024-01-06,fr,meta,EUR,1.0,14.66,1763,20,0
2024-01-06,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-07,at,direct,EUR,1.0,0.00,0,0,0
2024-01-07,at,email,EUR,1.0,0.03,38,4,0
2024-01-07,at,google,EUR,1.0,0.26,8,0,0
2024-01-07,at,meta,EUR,1.0,1.87,198,4,0
2024-01-07,at,organic,EUR,1.0,0.00,0,0,0
2024-01-07,de,direct,EUR,1.0,0.00,0,0,0
2024-01-07,de,email,EUR,1.0,0.11,62,3,0
2024-01-07,de,google,EUR,1.0,2.36,117,3,0
2024-01-07,de,meta,EUR,1.0,11.01,1596,23,0
2024-01-07,de,organic,EUR,1.0,0.00,0,0,0
2024-01-07,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-07,fr,email,EUR,1.0,0.06,34,3,0
2024-01-07,fr,google,EUR,1.0,1.96,68,6,0
2024-01-07,fr,meta,EUR,1.0,7.29,1083,10,0
2024-01-07,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-08,at,direct,EUR,1.0,0.00,0,0,0
2024-01-08,at,email,EUR,1.0,0.03,25,2,0
2024-01-08,at,google,EUR,1.0,0.27,10,0,0
2024-01-08,at,meta,EUR,1.0,1.98,193,0,0
2024-01-08,at,organic,EUR,1.0,0.00,0,0,0
2024-01-08,de,direct,EUR,1.0,0.00,0,0,0
2024-01-08,de,email,EUR,1.0,0.10,61,1,0
2024-01-08,de,google,EUR,1.0,4.72,199,7,0
2024-01-08,de,meta,EUR,1.0,15.85,1858,31,0
2024-01-08,de,organic,EUR,1.0,0.00,0,0,0
2024-01-08,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-08,fr,email,EUR,1.0,0.09,53,1,0
2024-01-08,fr,google,EUR,1.0,1.73,85,4,0
2024-01-08,fr,meta,EUR,1.0,7.36,1090,17,0
2024-01-08,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-09,at,direct,EUR,1.0,0.00,0,0,0
2024-01-09,at,email,EUR,1.0,0.04,26,2,0
2024-01-09,at,google,EUR,1.0,0.20,9,0,0
2024-01-09,at,meta,EUR,1.0,2.46,241,0,0
2024-01-09,at,organic,EUR,1.0,0.00,0,0,0
2024-01-09,de,direct,EUR,1.0,0.00,0,0,0
2024-01-09,de,email,EUR,1.0,0.09,96,1,0
2024-01-09,de,google,EUR,1.0,2.78,99,8,0
2024-01-09,de,meta,EUR,1.0,21.83,2574,35,0
2024-01-09,de,organic,EUR,1.0,0.00,0,0,0
2024-01-09,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-09,fr,email,EUR,1.0,0.07,47,3,0
2024-01-09,fr,google,EUR,1.0,1.31,61,1,0
2024-01-09,fr,meta,EUR,1.0,8.24,1220,18,0
2024-01-09,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-10,at,direct,EUR,1.0,0.00,0,0,0
2024-01-10,at,email,EUR,1.0,0.02,14,1,0
2024-01-10,at,google,EUR,1.0,0.28,8,1,0
2024-01-10,at,meta,EUR,1.0,2.20,320,4,1
2024-01-10,at,organic,EUR,1.0,0.00,0,0,0
2024-01-10,de,direct,EUR,1.0,0.00,0,0,0
2024-01-10,de,email,EUR,1.0,0.09,52,1,0
2024-01-10,de,google,EUR,1.0,1.72,85,3,0
2024-01-10,de,meta,EUR,1.0,18.62,2321,41,0
2024-01-10,de,organic,EUR,1.0,0.00,0,0,0
2024-01-10,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-10,fr,email,EUR,1.0,0.10,92,2,0
2024-01-10,fr,google,EUR,1.0,1.10,37,2,0
2024-01-10,fr,meta,EUR,1.0,11.09,1475,27,0
2024-01-10,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-11,at,direct,EUR,1.0,0.00,0,0,0
2024-01-11,at,email,EUR,1.0,0.03,29,0,0
2024-01-11,at,google,EUR,1.0,0.44,13,0,0
2024-01-11,at,meta,EUR,1.0,1.72,250,2,0
2024-01-11,at,organic,EUR,1.0,0.00,0,0,0
2024-01-11,de,direct,EUR,1.0,0.00,0,0,0
2024-01-11,de,email,EUR,1.0,0.08,44,2,0
2024-01-11,de,google,EUR,1.0,2.72,145,9,0
2024-01-11,de,meta,EUR,1.0,19.40,1931,37,0
2024-01-11,de,organic,EUR,1.0,0.00,0,0,0
2024-01-11,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-11,fr,email,EUR,1.0,0.22,136,4,0
2024-01-11,fr,google,EUR,1.0,1.26,54,3,0
2024-01-11,fr,meta,EUR,1.0,6.86,670,17,0
2024-01-11,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-12,at,direct,EUR,1.0,0.00,0,0,0
2024-01-12,at,email,EUR,1.0,0.03,27,5,0
2024-01-12,at,google,EUR,1.0,0.24,11,2,0
2024-01-12,at,meta,EUR,1.0,3.65,552,10,0
2024-01-12,at,organic,EUR,1.0,0.00,0,0,0
2024-01-12,de,direct,EUR,1.0,0.00,0,0,0
2024-01-12,de,email,EUR,1.0,0.13,68,3,0
2024-01-12,de,google,EUR,1.0,1.85,59,2,0
2024-01-12,de,meta,EUR,1.0,20.59,1784,34,0
2024-01-12,de,organic,EUR,1.0,0.00,0,0,0
2024-01-12,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-12,fr,email,EUR,1.0,0.28,182,3,0
2024-01-12,fr,google,EUR,1.0,2.98,140,14,0
2024-01-12,fr,meta,EUR,1.0,15.03,1539,36,0
2024-01-12,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-13,at,direct,EUR,1.0,0.00,0,0,0
2024-01-13,at,email,EUR,1.0,0.02,19,0,0
2024-01-13,at,google,EUR,1.0,0.36,18,0,0
2024-01-13,at,meta,EUR,1.0,3.82,333,4,0
2024-01-13,at,organic,EUR,1.0,0.00,0,0,0
2024-01-13,de,direct,EUR,1.0,0.00,0,0,0
2024-01-13,de,email,EUR,1.0,0.09,47,3,0
2024-01-13,de,google,EUR,1.0,4.14,132,10,1
2024-01-13,de,meta,EUR,1.0,11.95,1060,10,0
2024-01-13,de,organic,EUR,1.0,0.00,0,0,0
2024-01-13,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-13,fr,email,EUR,1.0,0.17,122,0,0
2024-01-13,fr,google,EUR,1.0,1.42,78,1,0
2024-01-13,fr,meta,EUR,1.0,10.90,1276,24,0
2024-01-13,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-14,at,direct,EUR,1.0,0.00,0,0,0
2024-01-14,at,email,EUR,1.0,0.02,13,1,0
2024-01-14,at,google,EUR,1.0,0.21,10,0,0
2024-01-14,at,meta,EUR,1.0,2.73,236,6,0
2024-01-14,at,organic,EUR,1.0,0.00,0,0,0
2024-01-14,de,direct,EUR,1.0,0.00,0,0,0
2024-01-14,de,email,EUR,1.0,0.07,44,2,0
2024-01-14,de,google,EUR,1.0,1.49,73,7,0
2024-01-14,de,meta,EUR,1.0,9.66,814,7,0
2024-01-14,de,organic,EUR,1.0,0.00,0,0,0
2024-01-14,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-14,fr,email,EUR,1.0,0.09,85,1,0
2024-01-14,fr,google,EUR,1.0,0.60,21,0,0
2024-01-14,fr,meta,EUR,1.0,5.82,759,11,0
2024-01-14,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-15,at,direct,EUR,1.0,0.00,0,0,0
2024-01-15,at,email,EUR,1.0,0.02,17,1,0
2024-01-15,at,google,EUR,1.0,0.30,13,0,0
2024-01-15,at,meta,EUR,1.0,1.46,148,4,0
2024-01-15,at,organic,EUR,1.0,0.00,0,0,0
2024-01-15,de,direct,EUR,1.0,0.00,0,0,0
2024-01-15,de,email,EUR,1.0,0.10,49,4,0
2024-01-15,de,google,EUR,1.0,2.23,110,4,0
2024-01-15,de,meta,EUR,1.0,12.97,1693,27,0
2024-01-15,de,organic,EUR,1.0,0.00,0,0,0
2024-01-15,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-15,fr,email,EUR,1.0,0.11,68,3,0
2024-01-15,fr,google,EUR,1.0,1.82,54,5,0
2024-01-15,fr,meta,EUR,1.0,11.85,1606,26,0
2024-01-15,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-16,at,direct,EUR,1.0,0.00,0,0,0
2024-01-16,at,email,EUR,1.0,0.03,16,0,0
2024-01-16,at,google,EUR,1.0,0.27,12,1,0
2024-01-16,at,meta,EUR,1.0,2.68,428,6,0
2024-01-16,at,organic,EUR,1.0,0.00,0,0,0
2024-01-16,de,direct,EUR,1.0,0.00,0,0,0
2024-01-16,de,email,EUR,1.0,0.08,60,1,0
2024-01-16,de,google,EUR,1.0,1.78,66,6,0
2024-01-16,de,meta,EUR,1.0,11.71,983,12,0
2024-01-16,de,organic,EUR,1.0,0.00,0,0,0
2024-01-16,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-16,fr,email,EUR,1.0,0.15,101,3,0
2024-01-16,fr,google,EUR,1.0,2.21,102,5,0
2024-01-16,fr,meta,EUR,1.0,5.61,516,6,0
2024-01-16,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-17,at,direct,EUR,1.0,0.00,0,0,0
2024-01-17,at,email,EUR,1.0,0.05,28,0,0
2024-01-17,at,google,EUR,1.0,0.51,15,1,0
2024-01-17,at,meta,EUR,1.0,3.16,319,3,0
2024-01-17,at,organic,EUR,1.0,0.00,0,0,0
2024-01-17,de,direct,EUR,1.0,0.00,0,0,0
2024-01-17,de,email,EUR,1.0,0.14,72,3,0
2024-01-17,de,google,EUR,1.0,2.06,62,4,0
2024-01-17,de,meta,EUR,1.0,11.14,1674,23,0
2024-01-17,de,organic,EUR,1.0,0.00,0,0,0
2024-01-17,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-17,fr,email,EUR,1.0,0.08,94,6,1
2024-01-17,fr,google,EUR,1.0,2.44,103,3,0
2024-01-17,fr,meta,EUR,1.0,7.95,805,14,0
2024-01-17,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-18,at,direct,EUR,1.0,0.00,0,0,0
2024-01-18,at,email,EUR,1.0,0.03,23,0,0
2024-01-18,at,google,EUR,1.0,0.39,21,0,0
2024-01-18,at,meta,EUR,1.0,1.95,267,2,0
2024-01-18,at,organic,EUR,1.0,0.00,0,0,0
2024-01-18,de,direct,EUR,1.0,0.00,0,0,0
2024-01-18,de,email,EUR,1.0,0.16,108,6,0
2024-01-18,de,google,EUR,1.0,3.90,200,12,0
2024-01-18,de,meta,EUR,1.0,9.00,1331,26,1
2024-01-18,de,organic,EUR,1.0,0.00,0,0,0
2024-01-18,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-18,fr,email,EUR,1.0,0.12,67,3,0
2024-01-18,fr,google,EUR,1.0,2.09,85,4,1
2024-01-18,fr,meta,EUR,1.0,8.15,858,19,0
2024-01-18,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-19,at,direct,EUR,1.0,0.00,0,0,0
2024-01-19,at,email,EUR,1.0,0.03,15,0,0
2024-01-19,at,google,EUR,1.0,0.25,11,1,0
2024-01-19,at,meta,EUR,1.0,2.90,409,7,0
2024-01-19,at,organic,EUR,1.0,0.00,0,0,0
2024-01-19,de,direct,EUR,1.0,0.00,0,0,0
2024-01-19,de,email,EUR,1.0,0.12,80,4,0
2024-01-19,de,google,EUR,1.0,2.80,100,2,0
2024-01-19,de,meta,EUR,1.0,11.46,1861,20,1
2024-01-19,de,organic,EUR,1.0,0.00,0,0,0
2024-01-19,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-19,fr,email,EUR,1.0,0.23,162,3,0
2024-01-19,fr,google,EUR,1.0,2.39,85,4,0
2024-01-19,fr,meta,EUR,1.0,20.02,2011,17,0
2024-01-19,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-20,at,direct,EUR,1.0,0.00,0,0,0
2024-01-20,at,email,EUR,1.0,0.04,24,0,0
2024-01-20,at,google,EUR,1.0,0.47,14,1,0
2024-01-20,at,meta,EUR,1.0,2.94,304,4,0
2024-01-20,at,organic,EUR,1.0,0.00,0,0,0
2024-01-20,de,direct,EUR,1.0,0.00,0,0,0
2024-01-20,de,email,EUR,1.0,0.13,88,4,0
2024-01-20,de,google,EUR,1.0,2.42,92,4,0
2024-01-20,de,meta,EUR,1.0,16.75,2454,44,0
2024-01-20,de,organic,EUR,1.0,0.00,0,0,0
2024-01-20,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-20,fr,email,EUR,1.0,0.12,69,1,0
2024-01-20,fr,google,EUR,1.0,1.78,57,3,1
2024-01-20,fr,meta,EUR,1.0,9.03,848,18,0
2024-01-20,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-21,at,direct,EUR,1.0,0.00,0,0,0
2024-01-21,at,email,EUR,1.0,0.04,22,0,0
2024-01-21,at,google,EUR,1.0,0.21,6,0,0
2024-01-21,at,meta,EUR,1.0,3.68,481,9,0
2024-01-21,at,organic,EUR,1.0,0.00,0,0,0
2024-01-21,de,direct,EUR,1.0,0.00,0,0,0
2024-01-21,de,email,EUR,1.0,0.12,61,1,0
2024-01-21,de,google,EUR,1.0,1.41,43,1,1
2024-01-21,de,meta,EUR,1.0,12.31,1489,22,0
2024-01-21,de,organic,EUR,1.0,0.00,0,0,0
2024-01-21,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-21,fr,email,EUR,1.0,0.09,83,3,0
2024-01-21,fr,google,EUR,1.0,0.65,34,1,0
2024-01-21,fr,meta,EUR,1.0,4.04,510,7,0
2024-01-21,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-22,at,direct,EUR,1.0,0.00,0,0,0
2024-01-22,at,email,EUR,1.0,0.02,17,1,1
2024-01-22,at,google,EUR,1.0,0.25,13,0,0
2024-01-22,at,meta,EUR,1.0,4.14,360,3,0
2024-01-22,at,organic,EUR,1.0,0.00,0,0,0
2024-01-22,de,direct,EUR,1.0,0.00,0,0,0
2024-01-22,de,email,EUR,1.0,0.09,57,3,0
2024-01-22,de,google,EUR,1.0,1.25,63,5,0
2024-01-22,de,meta,EUR,1.0,10.87,960,14,0
2024-01-22,de,organic,EUR,1.0,0.00,0,0,1
2024-01-22,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-22,fr,email,EUR,1.0,0.12,71,4,1
2024-01-22,fr,google,EUR,1.0,1.35,42,2,0
2024-01-22,fr,meta,EUR,1.0,7.10,798,10,0
2024-01-22,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-23,at,direct,EUR,1.0,0.00,0,0,0
2024-01-23,at,email,EUR,1.0,0.02,16,0,0
2024-01-23,at,google,EUR,1.0,0.34,15,0,0
2024-01-23,at,meta,EUR,1.0,1.49,143,0,0
2024-01-23,at,organic,EUR,1.0,0.00,0,0,0
2024-01-23,de,direct,EUR,1.0,0.00,0,0,0
2024-01-23,de,email,EUR,1.0,0.09,61,2,0
2024-01-23,de,google,EUR,1.0,1.58,70,1,0
2024-01-23,de,meta,EUR,1.0,14.91,2265,27,0
2024-01-23,de,organic,EUR,1.0,0.00,0,0,0
2024-01-23,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-23,fr,email,EUR,1.0,0.14,111,4,0
2024-01-23,fr,google,EUR,1.0,1.70,55,1,0
2024-01-23,fr,meta,EUR,1.0,10.23,1183,21,0
2024-01-23,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-24,at,direct,EUR,1.0,0.00,0,0,0
2024-01-24,at,email,EUR,1.0,0.04,27,0,0
2024-01-24,at,google,EUR,1.0,0.28,8,0,0
2024-01-24,at,meta,EUR,1.0,5.46,685,5,0
2024-01-24,at,organic,EUR,1.0,0.00,0,0,0
2024-01-24,de,direct,EUR,1.0,0.00,0,0,0
2024-01-24,de,email,EUR,1.0,0.17,199,4,0
2024-01-24,de,google,EUR,1.0,2.51,88,1,0
2024-01-24,de,meta,EUR,1.0,13.46,1854,21,0
2024-01-24,de,organic,EUR,1.0,0.00,0,0,0
2024-01-24,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-24,fr,email,EUR,1.0,0.11,116,5,0
2024-01-24,fr,google,EUR,1.0,1.43,48,3,0
2024-01-24,fr,meta,EUR,1.0,11.88,1229,15,0
2024-01-24,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-25,at,direct,EUR,1.0,0.00,0,0,0
2024-01-25,at,email,EUR,1.0,0.03,30,0,0
2024-01-25,at,google,EUR,1.0,0.44,15,0,0
2024-01-25,at,meta,EUR,1.0,2.02,293,2,0
2024-01-25,at,organic,EUR,1.0,0.00,0,0,0
2024-01-25,de,direct,EUR,1.0,0.00,0,0,0
2024-01-25,de,email,EUR,1.0,0.16,204,4,0
2024-01-25,de,google,EUR,1.0,3.35,122,11,0
2024-01-25,de,meta,EUR,1.0,21.90,2315,27,1
2024-01-25,de,organic,EUR,1.0,0.00,0,0,0
2024-01-25,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-25,fr,email,EUR,1.0,0.14,83,2,0
2024-01-25,fr,google,EUR,1.0,1.45,75,4,0
2024-01-25,fr,meta,EUR,1.0,19.15,1890,33,0
2024-01-25,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-26,at,direct,EUR,1.0,0.00,0,0,0
2024-01-26,at,email,EUR,1.0,0.05,26,4,0
2024-01-26,at,google,EUR,1.0,0.29,12,1,0
2024-01-26,at,meta,EUR,1.0,3.88,457,4,0
2024-01-26,at,organic,EUR,1.0,0.00,0,0,0
2024-01-26,de,direct,EUR,1.0,0.00,0,0,0
2024-01-26,de,email,EUR,1.0,0.16,175,3,1
2024-01-26,de,google,EUR,1.0,2.30,71,1,0
2024-01-26,de,meta,EUR,1.0,16.35,1984,26,1
2024-01-26,de,organic,EUR,1.0,0.00,0,0,0
2024-01-26,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-26,fr,email,EUR,1.0,0.18,115,2,0
2024-01-26,fr,google,EUR,1.0,1.25,43,1,0
2024-01-26,fr,meta,EUR,1.0,16.05,1657,13,0
2024-01-26,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-27,at,direct,EUR,1.0,0.00,0,0,0
2024-01-27,at,email,EUR,1.0,0.04,38,0,0
2024-01-27,at,google,EUR,1.0,0.32,10,0,0
2024-01-27,at,meta,EUR,1.0,4.08,384,3,0
2024-01-27,at,organic,EUR,1.0,0.00,0,0,0
2024-01-27,de,direct,EUR,1.0,0.00,0,0,0
2024-01-27,de,email,EUR,1.0,0.19,205,6,0
2024-01-27,de,google,EUR,1.0,4.59,144,6,0
2024-01-27,de,meta,EUR,1.0,22.29,2860,35,0
2024-01-27,de,organic,EUR,1.0,0.00,0,0,0
2024-01-27,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-27,fr,email,EUR,1.0,0.29,314,6,0
2024-01-27,fr,google,EUR,1.0,1.30,48,2,0
2024-01-27,fr,meta,EUR,1.0,11.73,1613,31,0
2024-01-27,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-28,at,direct,EUR,1.0,0.00,0,0,0
2024-01-28,at,email,EUR,1.0,0.03,22,1,0
2024-01-28,at,google,EUR,1.0,0.22,9,0,0
2024-01-28,at,meta,EUR,1.0,1.57,144,3,0
2024-01-28,at,organic,EUR,1.0,0.00,0,0,0
2024-01-28,de,direct,EUR,1.0,0.00,0,0,0
2024-01-28,de,email,EUR,1.0,0.06,34,0,0
2024-01-28,de,google,EUR,1.0,1.60,53,1,0
2024-01-28,de,meta,EUR,1.0,13.36,1686,35,0
2024-01-28,de,organic,EUR,1.0,0.00,0,0,0
2024-01-28,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-28,fr,email,EUR,1.0,0.11,111,5,0
2024-01-28,fr,google,EUR,1.0,2.12,78,6,0
2024-01-28,fr,meta,EUR,1.0,5.90,727,19,0
2024-01-28,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-29,at,direct,EUR,1.0,0.00,0,0,0
2024-01-29,at,email,EUR,1.0,0.02,13,0,0
2024-01-29,at,google,EUR,1.0,0.25,8,0,0
2024-01-29,at,meta,EUR,1.0,2.70,330,8,0
2024-01-29,at,organic,EUR,1.0,0.00,0,0,0
2024-01-29,de,direct,EUR,1.0,0.00,0,0,0
2024-01-29,de,email,EUR,1.0,0.16,108,2,0
2024-01-29,de,google,EUR,1.0,2.03,60,5,0
2024-01-29,de,meta,EUR,1.0,9.06,827,13,0
2024-01-29,de,organic,EUR,1.0,0.00,0,0,0
2024-01-29,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-29,fr,email,EUR,1.0,0.12,88,6,0
2024-01-29,fr,google,EUR,1.0,2.35,114,3,0
2024-01-29,fr,meta,EUR,1.0,13.76,1296,25,1
2024-01-29,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-30,at,direct,EUR,1.0,0.00,0,0,0
2024-01-30,at,email,EUR,1.0,0.03,35,2,0
2024-01-30,at,google,EUR,1.0,0.43,18,0,0
2024-01-30,at,meta,EUR,1.0,2.38,219,1,0
2024-01-30,at,organic,EUR,1.0,0.00,0,0,0
2024-01-30,de,direct,EUR,1.0,0.00,0,0,0
2024-01-30,de,email,EUR,1.0,0.13,111,4,0
2024-01-30,de,google,EUR,1.0,1.67,65,1,0
2024-01-30,de,meta,EUR,1.0,14.17,1301,22,0
2024-01-30,de,organic,EUR,1.0,0.00,0,0,0
2024-01-30,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-30,fr,email,EUR,1.0,0.20,108,4,0
2024-01-30,fr,google,EUR,1.0,1.41,76,5,0
2024-01-30,fr,meta,EUR,1.0,7.99,700,13,0
2024-01-30,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-31,at,direct,EUR,1.0,0.00,0,0,0
2024-01-31,at,email,EUR,1.0,0.03,18,0,0
2024-01-31,at,google,EUR,1.0,0.39,15,1,0
2024-01-31,at,meta,EUR,1.0,3.05,270,2,0
2024-01-31,at,organic,EUR,1.0,0.00,0,0,0
2024-01-31,de,direct,EUR,1.0,0.00,0,0,0
2024-01-31,de,email,EUR,1.0,0.17,156,1,0
2024-01-31,de,google,EUR,1.0,3.27,100,3,0
2024-01-31,de,meta,EUR,1.0,10.58,980,16,0
2024-01-31,de,organic,EUR,1.0,0.00,0,0,1
2024-01-31,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-31,fr,email,EUR,1.0,0.11,124,4,0
2024-01-31,fr,google,EUR,1.0,1.62,49,1,0
