id,customer_id,market,created_at,currency,fx_rate_from_eur,subtotal,discount,shipping,tax,total,discount_code,is_repeat
ord-000000016,cust-de-000008,de,2024-01-29T13:42:27.075694Z,EUR,1.0,121.80,17.88,4.90,17.37,108.82,SAVE15,False
ord-000000017,cust-de-000011,de,2024-02-01T18:12:20.458369Z,EUR,1.0,266.80,0.00,4.90,43.38,271.70,,False
ord-000000018,cust-de-000009,de,2024-02-02T16:33:17.941651Z,EUR,1.0,28.90,0.00,4.90,5.40,33.80,,False
ord-000000019,cust-de-000010,de,2024-02-02T16:20:08.607536Z,EUR,1.0,156.80,18.44,4.90,22.87,143.26,SAVE12,False
ord-000000020,cust-de-000014,de,2024-02-08T13:42:44.022392Z,EUR,1.0,28.90,0.00,4.90,5.40,33.80,,False
ord-000000021,cust-de-000012,de,2024-02-09T18:04:50.786933Z,EUR,1.0,83.90,0.00,4.90,14.18,88.80,,False
ord-000000022,cust-fr-000009,fr,2024-02-09T16:28:33.940480Z,EUR,1.0,133.00,0.00,5.90,23.15,138.90,,False
ord-000000023,cust-de-000013,de,2024-02-10T12:00:23.258172Z,EUR,1.0,271.90,0.00,4.90,44.19,276.80,,False
ord-000000024,cust-fr-000008,fr,2024-02-13T14:17:29.744979Z,EUR,1.0,72.90,0.00,5.90,13.13,78.80,,False
ord-000000025,cust-de-000015,de,2024-02-14T16:10:44.827515Z,EUR,1.0,65.90,0.00,4.90,11.30,70.80,,False
ord-000000026,cust-fr-000006,fr,2024-02-18T20:11:03.074135Z,EUR,1.0,196.90,20.71,5.90,30.35,182.09,SAVE11,True
ord-000000027,cust-de-000016,de,2024-02-19T14:46:28.847784Z,EUR,1.0,85.80,0.00,4.90,14.48,90.70,,False
ord-000000028,cust-fr-000014,fr,2024-02-23T11:12:22.937672Z,EUR,1.0,19.90,0.00,5.90,4.30,25.80,,False
ord-000000029,cust-fr-000012,fr,2024-02-26T13:35:28.908686Z,EUR,1.0,119.00,0.00,5.90,20.82,124.90,,False
ord-000000030,cust-de-000017,de,2024-02-29T15:29:18.859833Z,EUR,1.0,26.90,0.00,4.90,5.08,31.80,,False
ord-000000031,cust-fr-000013,fr,2024-02-29T15:58:58.335028Z,EUR,1.0,77.90,0.00,5.90,13.97,83.80,,False
ord-000000032,cust-de-000018,de,2024-03-02T10:41:39.402188Z,EUR,1.0,19.90,3.24,4.90,3.44,21.56,SAVE16,False
ord-000000033,cust-de-000019,de,2024-03-05T18:00:27.242385Z,EUR,1.0,65.90,11.92,4.90,9.40,58.88,SAVE18,False
ord-000000034,cust-fr-000007,fr,2024-03-05T15:52:30.097779Z,EUR,1.0,73.90,0.00,5.90,13.30,79.80,,False
ord-000000035,cust-de-000020,de,2024-03-06T16:31:14.235672Z,EUR,1.0,239.90,0.00,4.90,39.09,244.80,,False
ord-000000036,cust-de-000023,de,2024-03-09T14:19:20.024232Z,EUR,1.0,77.90,0.00,4.90,13.22,82.80,,False
ord-000000037,cust-de-000022,de,2024-03-09T04:34:15.595505Z,EUR,1.0,77.90,0.00,4.90,13.22,82.80,,False
ord-000000038,cust-de-000025,de,2024-03-10T21:44:38.502302Z,EUR,1.0,271.80,0.00,4.90,44.18,276.70,,False
ord-000000039,cust-de-000024,de,2024-03-11T15:40:05.489791Z,EUR,1.0,212.80,0.00,4.90,34.76,217.70,,False
ord-000000040,cust-de-000027,de,2024-03-14T19:11:35.869761Z,EUR,1.0,193.90,0.00,4.90,31.74,198.80,,False
ord-000000041,cust-de-000029,de,2024-03-15T20:33:17.886834Z,EUR,1.0,42.90,0.00,4.90,7.63,47.80,,False
ord-000000042,cust-de-000026,de,2024-03-15T11:39:46.539816Z,EUR,1.0,370.90,0.00,4.90,60.00,375.80,,False
ord-000000043,cust-de-000028,de,2024-03-16T08:46:43.705978Z,EUR,1.0,26.90,6.57,4.90,4.03,25.23,SAVE24,False
ord-000000044,cust-de-000021,de,2024-03-16T18:55:57.897836Z,EUR,1.0,100.80,0.00,4.90,16.88,105.70,,False
ord-000000045,cust-fr-000007,fr,2024-03-16T07:54:29.108161Z,EUR,1.0,388.00,0.00,5.90,65.65,393.90,,True
ord-000000046,cust-at-000003,at,2024-03-18T14:51:21.581289Z,EUR,1.0,143.80,0.00,5.90,24.95,149.70,,False
ord-000000047,cust-de-000030,de,2024-03-18T20:23:48.709588Z,EUR,1.0,65.90,0.00,4.90,11.30,70.80,,False
ord-000000048,cust-de-000031,de,2024-03-19T18:36:34.302639Z,EUR,1.0,28.90,6.12,4.90,4.42,27.68,SAVE21,False
ord-000000049,cust-fr-000023,fr,2024-03-19T14:52:22.037327Z,EUR,1.0,151.00,0.00,5.90,26.15,156.90,,False
ord-000000050,cust-de-000013,de,2024-03-21T11:58:58.354141Z,EUR,1.0,26.90,0.00,4.90,5.08,31.80,,True
ord-000000051,cust-fr-000011,fr,2024-03-22T17:54:30.284290Z,EUR,1.0,1209.90,146.40,5.90,178.23,1069.40,SAVE12,False
ord-000000052,cust-fr-000019,fr,2024-03-23T11:00:38.813919Z,EUR,1.0,73.90,0.00,5.90,13.30,79.80,,False
ord-000000053,cust-fr-000020,fr,2024-03-23T10:19:07.212451Z,EUR,1.0,73.90,16.84,5.90,10.49,62.96,SAVE23,False
ord-000000054,cust-fr-000002,fr,2024-03-23T19:26:30.957395Z,EUR,1.0,280.80,56.05,5.90,38.44,230.65,SAVE20,True
ord-000000055,cust-de-000032,de,2024-03-24T21:07:24.890496Z,EUR,1.0,224.90,0.00,4.90,36.69,229.80,,False
ord-000000056,cust-fr-000005,fr,2024-03-24T14:20:56.764861Z,EUR,1.0,137.70,0.00,5.90,23.93,143.60,,True
ord-000000057,cust-de-000013,de,2024-03-25T18:18:51.863381Z,EUR,1.0,371.90,47.53,4.90,52.57,329.27,SAVE13,True
ord-000000058,cust-fr-000001,fr,2024-03-25T20:20:13.295588Z,EUR,1.0,19.90,0.00,5.90,4.30,25.80,,True
ord-000000059,cust-fr-000022,fr,2024-03-26T18:20:05.532370Z,EUR,1.0,60.90,0.00,5.90,11.13,66.80,,False
ord-000000060,cust-de-000034,de,2024-03-28T18:58:31.181027Z,EUR,1.0,97.80,0.00,4.90,16.40,102.70,,False
ord-000000061,cust-de-000033,de,2024-03-28T17:00:07.295521Z,EUR,1.0,638.90,0.00,4.90,102.79,643.80,,False
ord-000000062,cust-de-000037,de,2024-03-29T18:56:46.761992Z,EUR,1.0,185.90,0.00,4.90,30.46,190.80,,False
ord-000000063,cust-de-000035,de,2024-03-29T08:11:30.273624Z,EUR,1.0,73.90,13.64,4.90,10.40,65.16,SAVE18,False
ord-000000064,cust-fr-000030,fr,2024-03-29T18:36:02.487442Z,EUR,1.0,28.90,0.00,5.90,5.80,34.80,,False
ord-000000065,cust-de-000036,de,2024-03-30T12:04:51.369015Z,EUR,1.0,151.00,0.00,4.90,24.89,155.90,,False
ord-000000066,cust-fr-000003,fr,2024-04-02T05:02:38.282131Z,EUR,1.0,695.90,0.00,5.90,116.97,701.80,,True
ord-000000067,cust-de-000039,de,2024-04-03T07:50:26.997167Z,EUR,1.0,133.00,0.00,4.90,22.02,137.90,,False
ord-000000068,cust-fr-000018,fr,2024-04-03T08:40:10.788527Z,EUR,1.0,48.80,0.00,5.90,9.12,54.70,,False
ord-000000069,cust-fr-000037,fr,2024-04-05T07:43:39.290138Z,EUR,1.0,112.80,0.00,5.90,19.78,118.70,,False
ord-000000070,cust-fr-000025,fr,2024-04-05T19:42:30.799748Z,EUR,1.0,68.90,0.00,5.90,12.47,74.80,,False
ord-000000071,cust-de-000043,de,2024-04-06T09:35:58.047009Z,EUR,1.0,26.90,0.00,4.90,5.08,31.80,,False
ord-000000072,cust-de-000041,de,2024-04-08T07:22:32.512688Z,EUR,1.0,91.80,15.94,4.90,12.89,80.76,SAVE17,False
ord-000000073,cust-fr-000034,fr,2024-04-08T09:07:25.738704Z,EUR,1.0,244.90,0.00,5.90,41.80,250.80,,False
ord-000000074,cust-de-000038,de,2024-04-09T09:22:46.705917Z,EUR,1.0,112.80,0.00,4.90,18.79,117.70,,False
ord-000000075,cust-de-000047,de,2024-04-10T08:28:09.359185Z,EUR,1.0,82.80,0.00,4.90,14.00,87.70,,False
ord-000000076,cust-fr-000015,fr,2024-04-10T10:01:47.230479Z,EUR,1.0,68.90,0.00,5.90,12.47,74.80,,False
ord-000000077,cust-fr-000028,fr,2024-04-11T16:46:33.603450Z,EUR,1.0,28.90,0.00,5.90,5.80,34.80,,False
ord-000000078,cust-fr-000027,fr,2024-04-12T14:42:12.349850Z,EUR,1.0,479.00,0.00,5.90,80.82,484.90,,False
ord-000000079,cust-de-000050,de,2024-04-13T14:18:11.504829Z,EUR,1.0,436.00,102.02,4.90,54.11,338.88,SAVE23,False
ord-000000080,cust-de-000044,de,2024-04-13T18:52:04.450870Z,EUR,1.0,110.80,24.04,4.90,14.63,91.66,SAVE22,False
ord-000000081,cust-fr-000045,fr,2024-04-13T15:43:55.987667Z,EUR,1.0,284.00,29.88,5.90,43.34,260.02,SAVE11,False
ord-000000082,cust-de-000048,de,2024-04-14T18:23:19.002399Z,EUR,1.0,102.80,0.00,4.90,17.20,107.70,,False
ord-000000083,cust-fr-000041,fr,2024-04-14T16:48:24.589175Z,EUR,1.0,77.90,0.00,5.90,13.97,83.80,,False
ord-000000084,cust-fr-000044,fr,2024-04-14T13:59:31.996250Z,EUR,1.0,271.90,0.00,5.90,46.30,277.80,,False
ord-000000085,cust-fr-000026,fr,2024-04-14T14:02:12.592747Z,EUR,1.0,133.00,0.00,5.90,23.15,138.90,,False
ord-000000086,cust-fr-000040,fr,2024-04-15T05:43:25.881306Z,EUR,1.0,343.00,0.00,5.90,58.15,348.90,,False
ord-000000087,cust-fr-000010,fr,2024-04-16T20:52:25.626227Z,EUR,1.0,237.90,0.00,5.90,40.63,243.80,,False
ord-000000088,cust-fr-000045,fr,2024-04-18T10:42:57.367350Z,EUR,1.0,103.80,0.00,5.90,18.28,109.70,,True
ord-000000089,cust-de-000050,de,2024-04-19T18:54:31.358801Z,EUR,1.0,367.90,0.00,4.90,59.52,372.80,,True
ord-000000090,cust-fr-000039,fr,2024-04-20T17:54:23.437483Z,EUR,1.0,262.90,0.00,5.90,44.80,268.80,,False
ord-000000091,cust-fr-000031,fr,2024-04-20T15:32:11.197233Z,EUR,1.0,65.90,0.00,5.90,11.97,71.80,,False
ord-000000092,cust-de-000020,de,2024-04-23T08:39:41.252354Z,EUR,1.0,394.80,42.13,4.90,57.09,357.57,SAVE11,True
ord-000000093,cust-de-000059,de,2024-04-26T10:51:10.369596Z,EUR,1.0,163.90,0.00,4.90,26.95,168.80,,False
ord-000000094,cust-de-000060,de,2024-04-27T07:59:41.679166Z,EUR,1.0,101.80,0.00,4.90,17.04,106.70,,False
ord-000000095,cust-de-000045,de,2024-04-28T16:14:36.245139Z,EUR,1.0,676.80,96.24,4.90,93.48,585.46,SAVE14,False
ord-000000096,cust-de-000015,de,2024-04-28T07:30:17.447175Z,EUR,1.0,44.90,0.00,4.90,7.95,49.80,,True
ord-000000097,cust-de-000051,de,2024-04-29T10:38:10.994500Z,EUR,1.0,77.90,0.00,4.90,13.22,82.80,,False
ord-000000098,cust-de-000053,de,2024-04-30T14:36:30.095685Z,EUR,1.0,65.90,0.00,4.90,11.30,70.80,,False
ord-000000099,cust-fr-000042,fr,2024-04-30T14:13:15.274876Z,EUR,1.0,60.90,8.17,5.90,9.77,58.63,SAVE13,False
ord-000000100,cust-fr-000033,fr,2024-05-02T15:25:48.615183Z,EUR,1.0,44.90,0.00,5.90,8.47,50.80,,False
ord-000000101,cust-de-000029,de,2024-05-03T14:30:57.651670Z,EUR,1.0,314.90,0.00,4.90,51.06,319.80,,True
ord-000000102,cust-fr-000023,fr,2024-05-03T16:45:27.405232Z,EUR,1.0,235.90,36.28,5.90,34.25,205.52,SAVE15,True
ord-000000103,cust-at-000011,at,2024-05-04T20:33:35.928280Z,EUR,1.0,160.70,0.00,5.90,27.77,166.60,,False
ord-000000104,cust-de-000069,de,2024-05-04T17:17:18.517451Z,EUR,1.0,48.80,0.00,4.90,8.57,53.70,,False
ord-000000105,cust-de-000061,de,2024-05-04T17:35:30.871103Z,EUR,1.0,62.90,0.00,4.90,10.83,67.80,,False
ord-000000106,cust-fr-000048,fr,2024-05-04T15:53:39.897749Z,EUR,1.0,314.80,0.00,5.90,53.45,320.70,,False
ord-000000107,cust-fr-000044,fr,2024-05-04T14:47:59.459359Z,EUR,1.0,101.80,0.00,5.90,17.95,107.70,,True
ord-000000108,cust-de-000055,de,2024-05-05T18:46:37.224839Z,EUR,1.0,161.80,0.00,4.90,26.62,166.70,,False
ord-000000109,cust-de-000012,de,2024-05-05T20:21:07.065983Z,EUR,1.0,370.90,0.00,4.90,60.00,375.80,,True
ord-000000110,cust-de-000049,de,2024-05-06T17:24:11.993441Z,EUR,1.0,314.90,0.00,4.90,51.06,319.80,,False
ord-000000111,cust-at-000003,at,2024-05-07T18:11:39.149650Z,EUR,1.0,28.90,0.00,5.90,5.80,34.80,,True
ord-000000112,cust-fr-000046,fr,2024-05-10T07:34:28.793961Z,EUR,1.0,42.90,0.00,5.90,8.13,48.80,,False
ord-000000113,cust-de-000022,de,2024-05-11T15:26:28.831135Z,EUR,1.0,80.80,15.48,4.90,11.21,70.22,SAVE19,True
ord-000000114,cust-de-000057,de,2024-05-11T07:58:11.809521Z,EUR,1.0,167.00,0.00,4.90,27.45,171.90,,False
ord-000000115,cust-de-000058,de,2024-05-11T08:09:17.555962Z,EUR,1.0,62.90,0.00,4.90,10.83,67.80,,False
ord-000000116,cust-de-000050,de,2024-05-12T10:28:11.488561Z,EUR,1.0,219.80,0.00,4.90,35.88,224.70,,True
ord-000000117,cust-de-000064,de,2024-05-12T16:03:23.673203Z,EUR,1.0,68.90,0.00,4.90,11.78,73.80,,False
ord-000000118,cust-de-000072,de,2024-05-13T16:49:45.507306Z,EUR,1.0,461.00,0.00,4.90,74.39,465.90,,False
ord-000000119,cust-de-000071,de,2024-05-13T17:01:59.784159Z,EUR,1.0,42.90,0.00,4.90,7.63,47.80,,False
ord-000000120,cust-de-000040,de,2024-05-13T12:01:23.000997Z,EUR,1.0,414.80,47.62,4.90,59.41,372.08,SAVE11,False
ord-000000121,cust-de-000074,de,2024-05-14T14:05:41.742013Z,EUR,1.0,68.90,13.13,4.90,9.69,60.67,SAVE19,False
ord-000000122,cust-fr-000007,fr,2024-05-15T16:28:14.894171Z,EUR,1.0,193.90,0.00,5.90,33.30,199.80,,True
ord-000000123,cust-fr-000016,fr,2024-05-16T17:04:56.068337Z,EUR,1.0,60.90,0.00,5.90,11.13,66.80,,False
ord-000000124,cust-de-000084,de,2024-05-17T10:06:05.930517Z,EUR,1.0,89.80,0.00,4.90,15.12,94.70,,False
ord-000000125,cust-fr-000069,fr,2024-05-18T11:58:41.449372Z,EUR,1.0,68.90,8.10,5.90,11.12,66.70,SAVE12,False
ord-000000126,cust-de-000088,de,2024-05-21T18:35:13.728751Z,EUR,1.0,28.90,0.00,4.90,5.40,33.80,,False
ord-000000127,cust-de-000076,de,2024-05-23T15:57:24.332057Z,EUR,1.0,99.80,0.00,4.90,16.72,104.70,,False
ord-000000128,cust-de-000067,de,2024-05-23T16:48:59.505590Z,EUR,1.0,19.90,0.00,4.90,3.96,24.80,,False
ord-000000129,cust-de-000085,de,2024-05-24T13:43:57.734397Z,EUR,1.0,319.90,0.00,4.90,51.86,324.80,,False
ord-000000130,cust-de-000087,de,2024-05-25T11:44:55.817591Z,EUR,1.0,150.80,35.44,4.90,19.20,120.26,SAVE24,False
ord-000000131,cust-fr-000070,fr,2024-05-25T15:52:23.703356Z,EUR,1.0,254.80,0.00,5.90,43.45,260.70,,False
ord-000000132,cust-fr-000060,fr,2024-05-25T17:13:49.792468Z,EUR,1.0,84.70,0.00,5.90,15.10,90.60,,False
ord-000000133,cust-de-000053,de,2024-05-26T18:07:11.216764Z,EUR,1.0,126.80,0.00,4.90,21.03,131.70,,True
ord-000000134,cust-at-000004,at,2024-05-27T17:18:25.470544Z,EUR,1.0,28.90,0.00,5.90,5.80,34.80,,False
ord-000000135,cust-de-000061,de,2024-05-27T17:25:00.609277Z,EUR,1.0,28.90,0.00,4.90,5.40,33.80,,True
ord-000000136,cust-de-000015,de,2024-05-27T16:48:30.050192Z,EUR,1.0,71.80,8.23,4.90,10.93,68.47,SAVE11,True
ord-000000137,cust-fr-000049,fr,2024-05-27T15:02:31.860242Z,EUR,1.0,68.90,6.90,5.90,11.32,67.90,SAVE10,False
ord-000000138,cust-fr-000042,fr,2024-05-27T17:33:08.086436Z,EUR,1.0,345.80,0.00,5.90,58.62,351.70,,True
ord-000000139,cust-de-000052,de,2024-05-29T11:47:41.178077Z,EUR,1.0,140.80,0.00,4.90,23.26,145.70,,False
ord-000000140,cust-de-000083,de,2024-05-30T14:18:07.906653Z,EUR,1.0,77.90,7.93,4.90,11.95,74.87,SAVE10,False
ord-000000141,cust-de-000026,de,2024-05-31T19:30:36.689030Z,EUR,1.0,19.90,0.00,4.90,3.96,24.80,,True
ord-000000142,cust-de-000046,de,2024-05-31T20:42:51.728989Z,EUR,1.0,171.00,0.00,4.90,28.08,175.90,,False
ord-000000143,cust-de-000042,de,2024-05-31T16:07:42.960956Z,EUR,1.0,236.80,0.00,4.90,38.59,241.70,,False
ord-000000144,cust-fr-000056,fr,2024-05-31T15:32:22.951479Z,EUR,1.0,26.90,0.00,5.90,5.47,32.80,,False
ord-000000145,cust-de-000068,de,2024-06-01T13:32:30.696947Z,EUR,1.0,179.00,0.00,4.90,29.36,183.90,,False
ord-000000146,cust-fr-000038,fr,2024-06-02T13:25:16.497645Z,EUR,1.0,28.90,5.09,5.90,4.95,29.71,SAVE18,False
ord-000000147,cust-de-000065,de,2024-06-04T17:27:08.235057Z,EUR,1.0,317.90,0.00,4.90,51.54,322.80,,False
ord-000000148,cust-at-000015,at,2024-06-05T18:17:45.684494Z,EUR,1.0,77.90,0.00,5.90,13.97,83.80,,False
ord-000000149,cust-de-000081,de,2024-06-05T18:02:35.765352Z,EUR,1.0,65.90,0.00,4.90,11.30,70.80,,False
ord-000000150,cust-de-000073,de,2024-06-05T13:05:02.895062Z,EUR,1.0,44.90,0.00,4.90,7.95,49.80,,False
ord-000000151,cust-at-000014,at,2024-06-08T12:33:39.113359Z,EUR,1.0,133.00,0.00,5.90,23.15,138.90,,False
ord-000000152,cust-de-000101,de,2024-06-11T09:39:33.111619Z,EUR,1.0,194.90,0.00,4.90,31.90,199.80,,False
ord-000000153,cust-fr-000073,fr,2024-06-11T19:39:23.338319Z,EUR,1.0,438.80,0.00,5.90,74.12,444.70,,False
ord-000000154,cust-fr-000061,fr,2024-06-12T16:58:09.251115Z,EUR,1.0,330.90,0.00,5.90,56.13,336.80,,False
ord-000000155,cust-fr-000058,fr,2024-06-12T16:08:00.617270Z,EUR,1.0,756.00,132.38,5.90,104.92,629.52,SAVE18,False
ord-000000156,cust-de-000091,de,2024-06-13T16:52:10.174163Z,EUR,1.0,171.00,0.00,4.90,28.08,175.90,,False
ord-000000157,cust-de-000109,de,2024-06-14T16:38:32.251349Z,EUR,1.0,44.90,0.00,4.90,7.95,49.80,,False
ord-000000158,cust-fr-000023,fr,2024-06-15T06:06:02.510225Z,EUR,1.0,238.00,0.00,5.90,40.65,243.90,,True
ord-000000159,cust-de-000077,de,2024-06-16T13:05:37.067338Z,EUR,1.0,77.90,15.34,4.90,10.77,67.46,SAVE20,False
ord-000000160,cust-de-000113,de,2024-06-16T18:58:01.612168Z,EUR,1.0,60.90,0.00,4.90,10.51,65.80,,False
ord-000000161,cust-de-000093,de,2024-06-16T15:30:42.719690Z,EUR,1.0,77.90,7.95,4.90,11.95,74.85,SAVE10,False
ord-000000162,cust-fr-000083,fr,2024-06-17T14:15:51.200195Z,EUR,1.0,757.00,0.00,5.90,127.15,762.90,,False
ord-000000163,cust-fr-000055,fr,2024-06-17T05:22:16.578755Z,EUR,1.0,165.00,29.80,5.90,23.52,141.10,SAVE18,False
ord-000000164,cust-fr-000046,fr,2024-06-18T17:49:59.821069Z,EUR,1.0,19.90,3.19,5.90,3.77,22.61,SAVE16,True
ord-000000165,cust-de-000112,de,2024-06-19T13:49:46.086113Z,EUR,1.0,44.90,0.00,4.90,7.95,49.80,,False
ord-000000166,cust-de-000104,de,2024-06-20T06:14:55.910289Z,EUR,1.0,126.80,0.00,4.90,21.03,131.70,,False
ord-000000167,cust-fr-000082,fr,2024-06-21T13:25:03.934891Z,EUR,1.0,288.00,0.00,5.90,48.98,293.90,,False
ord-000000168,cust-fr-000087,fr,2024-06-21T17:23:39.215232Z,EUR,1.0,589.00,0.00,5.90,99.15,594.90,,False
ord-000000169,cust-at-000012,at,2024-06-22T15:58:25.186202Z,EUR,1.0,44.90,6.42,5.90,7.40,44.38,SAVE14,False
ord-000000170,cust-de-000014,de,2024-06-22T21:47:30.180832Z,EUR,1.0,44.90,0.00,4.90,7.95,49.80,,True
ord-000000171,cust-de-000100,de,2024-06-22T05:29:56.787844Z,EUR,1.0,26.90,0.00,4.90,5.08,31.80,,False
ord-000000172,cust-fr-000011,fr,2024-06-22T13:53:26.721444Z,EUR,1.0,26.90,0.00,5.90,5.47,32.80,,True
ord-000000173,cust-fr-000052,fr,2024-06-22T07:45:32.827374Z,EUR,1.0,145.90,0.00,5.90,25.30,151.80,,False
ord-000000174,cust-fr-000075,fr,2024-06-22T15:12:42.456685Z,EUR,1.0,179.00,0.00,5.90,30.82,184.90,,False
ord-000000175,cust-fr-000088,fr,2024-06-22T20:50:17.865138Z,EUR,1.0,73.90,0.00,5.90,13.30,79.80,,False
ord-000000176,cust-de-000095,de,2024-06-24T19:11:01.435984Z,EUR,1.0,42.90,0.00,4.90,7.63,47.80,,False
ord-000000177,cust-fr-000038,fr,2024-06-26T20:07:33.782207Z,EUR,1.0,46.80,0.00,5.90,8.78,52.70,,True
ord-000000178,cust-fr-000093,fr,2024-06-27T15:29:22.807750Z,EUR,1.0,615.90,0.00,5.90,103.63,621.80,,False
ord-000000179,cust-de-000074,de,2024-06-28T16:28:57.896986Z,EUR,1.0,77.90,0.00,4.90,13.22,82.80,,True
ord-000000180,cust-fr-000065,fr,2024-06-29T17:32:25.447265Z,EUR,1.0,28.90,0.00,5.90,5.80,34.80,,False
ord-000000181,cust-fr-000073,fr,2024-06-30T17:31:14.891784Z,EUR,1.0,784.80,0.00,5.90,131.78,790.70,,True
ord-000000182,cust-fr-000084,fr,2024-06-30T08:36:12.405700Z,EUR,1.0,68.90,0.00,5.90,12.47,74.80,,False
ord-000000183,cust-de-000090,de,2024-07-02T18:22:05.324731Z,EUR,1.0,171.00,0.00,4.90,28.08,175.90,,False
ord-000000184,cust-de-000106,de,2024-07-02T14:06:47.492556Z,EUR,1.0,128.80,0.00,4.90,21.35,133.70,,False
ord-000000185,cust-fr-000077,fr,2024-07-02T07:34:06.536502Z,EUR,1.0,291.80,0.00,5.90,49.62,297.70,,False
ord-000000186,cust-at-000018,at,2024-07-03T16:25:58.340999Z,EUR,1.0,62.90,0.00,5.90,11.47,68.80,,False
ord-000000187,cust-fr-000035,fr,2024-07-04T15:25:50.057633Z,EUR,1.0,119.00,0.00,5.90,20.82,124.90,,False
ord-000000188,cust-fr-000039,fr,2024-07-04T10:03:53.041898Z,EUR,1.0,72.90,10.36,5.90,11.41,68.44,SAVE14,True
ord-000000189,cust-fr-000074,fr,2024-07-04T19:59:42.429902Z,EUR,1.0,60.90,12.86,5.90,8.99,53.94,SAVE21,False
ord-000000190,cust-de-000107,de,2024-07-05T14:59:14.547657Z,EUR,1.0,42.90,0.00,4.90,7.63,47.80,,False
ord-000000191,cust-fr-000062,fr,2024-07-05T16:01:14.662303Z,EUR,1.0,119.00,0.00,5.90,20.82,124.90,,False
ord-000000192,cust-fr-000042,fr,2024-07-05T11:08:48.353107Z,EUR,1.0,209.00,0.00,5.90,35.82,214.90,,True
ord-000000193,cust-fr-000013,fr,2024-07-06T16:25:44.637737Z,EUR,1.0,470.00,117.08,5.90,59.80,358.82,SAVE25,True
ord-000000194,cust-fr-000081,fr,2024-07-07T12:34:29.545887Z,EUR,1.0,179.00,0.00,5.90,30.82,184.90,,False
ord-000000195,cust-de-000098,de,2024-07-08T17:04:29.168378Z,EUR,1.0,26.90,2.73,4.90,4.64,29.07,SAVE10,False
ord-000000196,cust-fr-000086,fr,2024-07-08T11:53:20.563411Z,EUR,1.0,119.00,0.00,5.90,20.82,124.90,,False
ord-000000197,cust-de-000111,de,2024-07-09T12:57:10.888160Z,EUR,1.0,554.80,91.76,4.90,74.71,467.94,SAVE17,False
ord-000000198,cust-de-000003,de,2024-07-10T13:21:47.275417Z,EUR,1.0,602.90,78.86,4.90,84.45,528.94,SAVE13,True
ord-000000199,cust-fr-000078,fr,2024-07-10T08:49:57.509557Z,EUR,1.0,299.90,0.00,5.90,50.97,305.80,,False
ord-000000200,cust-fr-000067,fr,2024-07-10T15:11:09.427977Z,EUR,1.0,26.90,0.00,5.90,5.47,32.80,,False
ord-000000201,cust-de-000089,de,2024-07-11T13:26:23.572565Z,EUR,1.0,669.80,0.00,4.90,107.73,674.70,,False
ord-000000202,cust-fr-000032,fr,2024-07-11T14:11:06.380233Z,EUR,1.0,28.90,0.00,5.90,5.80,34.80,,False
ord-000000203,cust-fr-000051,fr,2024-07-12T14:49:18.202454Z,EUR,1.0,89.80,0.00,5.90,15.95,95.70,,False
ord-000000204,cust-de-000037,de,2024-07-13T07:15:31.530499Z,EUR,1.0,97.80,0.00,4.90,16.40,102.70,,True
