id,product_id,sku,option_name,option_value,price_eur,inventory
var-garden-decor-garden-furniture-008-03,prod-garden-decor-garden-furniture-008,GARDEN-DECOR-GARDEN-FURNITURE-008-COLOR-GRAPHITE,color,Graphite,193.14,191
var-garden-decor-garden-furniture-009-01,prod-garden-decor-garden-furniture-009,GARDEN-DECOR-GARDEN-FURNITURE-009-MATERIAL-ACACIA,material,Acacia,403.75,126
var-garden-decor-garden-furniture-009-02,prod-garden-decor-garden-furniture-009,GARDEN-DECOR-GARDEN-FURNITURE-009-MATERIAL-METAL,material,Metal,403.75,212
var-garden-decor-garden-furniture-009-03,prod-garden-decor-garden-furniture-009,GARDEN-DECOR-GARDEN-FURNITURE-009-MATERIAL-RATTAN,material,Rattan,403.75,149
var-garden-decor-garden-furniture-010-01,prod-garden-decor-garden-furniture-010,GARDEN-DECOR-GARDEN-FURNITURE-010-COLOR-NATURAL,color,Natural,441.43,27
var-garden-decor-garden-furniture-010-02,prod-garden-decor-garden-furniture-010,GARDEN-DECOR-GARDEN-FURNITURE-010-COLOR-OLIVE,color,Olive,441.43,98
var-garden-decor-garden-furniture-010-03,prod-garden-decor-garden-furniture-010,GARDEN-DECOR-GARDEN-FURNITURE-010-COLOR-GRAPHITE,color,Graphite,441.43,119
var-garden-decor-garden-furniture-011-01,prod-garden-decor-garden-furniture-011,GARDEN-DECOR-GARDEN-FURNITURE-011-MATERIAL-ACACIA,material,Acacia,312.27,85
var-garden-decor-garden-furniture-011-02,prod-garden-decor-garden-furniture-011,GARDEN-DECOR-GARDEN-FURNITURE-011-MATERIAL-METAL,material,Metal,312.27,229
var-garden-decor-garden-furniture-011-03,prod-garden-decor-garden-furniture-011,GARDEN-DECOR-GARDEN-FURNITURE-011-MATERIAL-RATTAN,material,Rattan,312.27,87
var-garden-decor-garden-furniture-012-01,prod-garden-decor-garden-furniture-012,GARDEN-DECOR-GARDEN-FURNITURE-012-COLOR-NATURAL,color,Natural,397.07,202
var-garden-decor-garden-furniture-012-02,prod-garden-decor-garden-furniture-012,GARDEN-DECOR-GARDEN-FURNITURE-012-COLOR-OLIVE,color,Olive,397.07,94
var-garden-decor-garden-furniture-012-03,prod-garden-decor-garden-furniture-012,GARDEN-DECOR-GARDEN-FURNITURE-012-COLOR-GRAPHITE,color,Graphite,397.07,56
var-garden-decor-outdoor-lighting-001-01,prod-garden-decor-outdoor-lighting-001,GARDEN-DECOR-OUTDOOR-LIGHTING-001-FINISH-BLACK,finish,Black,38.95,124
var-garden-decor-outdoor-lighting-001-02,prod-garden-decor-outdoor-lighting-001,GARDEN-DECOR-OUTDOOR-LIGHTING-001-FINISH-BRASS,finish,Brass,38.95,226
var-garden-decor-outdoor-lighting-001-03,prod-garden-decor-outdoor-lighting-001,GARDEN-DECOR-OUTDOOR-LIGHTING-001-FINISH-STEEL,finish,Steel,38.95,54
var-garden-decor-outdoor-lighting-002-01,prod-garden-decor-outdoor-lighting-002,GARDEN-DECOR-OUTDOOR-LIGHTING-002-POWER-SOLAR,power,Solar,94.15,100
var-garden-decor-outdoor-lighting-002-02,prod-garden-decor-outdoor-lighting-002,GARDEN-DECOR-OUTDOOR-LIGHTING-002-POWER-WIRED,power,Wired,94.15,232
var-garden-decor-outdoor-lighting-003-01,prod-garden-decor-outdoor-lighting-003,GARDEN-DECOR-OUTDOOR-LIGHTING-003-FINISH-BLACK,finish,Black,77.53,191
var-garden-decor-outdoor-lighting-003-02,prod-garden-decor-outdoor-lighting-003,GARDEN-DECOR-OUTDOOR-LIGHTING-003-FINISH-BRASS,finish,Brass,77.53,235
var-garden-decor-outdoor-lighting-003-03,prod-garden-decor-outdoor-lighting-003,GARDEN-DECOR-OUTDOOR-LIGHTING-003-FINISH-STEEL,finish,Steel,77.53,72
var-garden-decor-outdoor-lighting-004-01,prod-garden-decor-outdoor-lighting-004,GARDEN-DECOR-OUTDOOR-LIGHTING-004-POWER-SOLAR,power,Solar,147.30,52
var-garden-decor-outdoor-lighting-004-02,prod-garden-decor-outdoor-lighting-004,GARDEN-DECOR-OUTDOOR-LIGHTING-004-POWER-WIRED,power,Wired,147.30,126
var-garden-decor-outdoor-lighting-005-01,prod-garden-decor-outdoor-lighting-005,GARDEN-DECOR-OUTDOOR-LIGHTING-005-FINISH-BLACK,finish,Black,72.42,193
var-garden-decor-outdoor-lighting-005-02,prod-garden-decor-outdoor-lighting-005,GARDEN-DECOR-OUTDOOR-LIGHTING-005-FINISH-BRASS,finish,Brass,72.42,125
var-garden-decor-outdoor-lighting-005-03,prod-garden-decor-outdoor-lighting-005,GARDEN-DECOR-OUTDOOR-LIGHTING-005-FINISH-STEEL,finish,Steel,72.42,181
var-garden-decor-outdoor-lighting-006-01,prod-garden-decor-outdoor-lighting-006,GARDEN-DECOR-OUTDOOR-LIGHTING-006-POWER-SOLAR,power,Solar,122.23,108
var-garden-decor-outdoor-lighting-006-02,prod-garden-decor-outdoor-lighting-006,GARDEN-DECOR-OUTDOOR-LIGHTING-006-POWER-WIRED,power,Wired,122.23,193
var-garden-decor-outdoor-lighting-007-01,prod-garden-decor-outdoor-lighting-007,GARDEN-DECOR-OUTDOOR-LIGHTING-007-FINISH-BLACK,finish,Black,54.17,194
var-garden-decor-outdoor-lighting-007-02,prod-garden-decor-outdoor-lighting-007,GARDEN-DECOR-OUTDOOR-LIGHTING-007-FINISH-BRASS,finish,Brass,54.17,51
var-garden-decor-outdoor-lighting-007-03,prod-garden-decor-outdoor-lighting-007,GARDEN-DECOR-OUTDOOR-LIGHTING-007-FINISH-STEEL,finish,Steel,54.17,82
var-garden-decor-outdoor-lighting-008-01,prod-garden-decor-outdoor-lighting-008,GARDEN-DECOR-OUTDOOR-LIGHTING-008-POWER-SOLAR,power,Solar,94.29,116
var-garden-decor-outdoor-lighting-008-02,prod-garden-decor-outdoor-lighting-008,GARDEN-DECOR-OUTDOOR-LIGHTING-008-POWER-WIRED,power,Wired,94.29,125
var-garden-decor-outdoor-lighting-009-01,prod-garden-decor-outdoor-lighting-009,GARDEN-DECOR-OUTDOOR-LIGHTING-009-FINISH-BLACK,finish,Black,37.82,145
var-garden-decor-outdoor-lighting-009-02,prod-garden-decor-outdoor-lighting-009,GARDEN-DECOR-OUTDOOR-LIGHTING-009-FINISH-BRASS,finish,Brass,37.82,138
var-garden-decor-outdoor-lighting-009-03,prod-garden-decor-outdoor-lighting-009,GARDEN-DECOR-OUTDOOR-LIGHTING-009-FINISH-STEEL,finish,Steel,37.82,129
var-garden-decor-outdoor-lighting-010-01,prod-garden-decor-outdoor-lighting-010,GARDEN-DECOR-OUTDOOR-LIGHTING-010-POWER-SOLAR,power,Solar,76.39,197
var-garden-decor-outdoor-lighting-010-02,prod-garden-decor-outdoor-lighting-010,GARDEN-DECOR-OUTDOOR-LIGHTING-010-POWER-WIRED,power,Wired,76.39,17
var-garden-decor-outdoor-lighting-011-01,prod-garden-decor-outdoor-lighting-011,GARDEN-DECOR-OUTDOOR-LIGHTING-011-FINISH-BLACK,finish,Black,71.84,69
var-garden-decor-outdoor-lighting-011-02,prod-garden-decor-outdoor-lighting-011,GARDEN-DECOR-OUTDOOR-LIGHTING-011-FINISH-BRASS,finish,Brass,71.84,166
var-garden-decor-outdoor-lighting-011-03,prod-garden-decor-outdoor-lighting-011,GARDEN-DECOR-OUTDOOR-LIGHTING-011-FINISH-STEEL,finish,Steel,71.84,182
var-garden-decor-outdoor-lighting-012-01,prod-garden-decor-outdoor-lighting-012,GARDEN-DECOR-OUTDOOR-LIGHTING-012-POWER-SOLAR,power,Solar,74.70,48
var-garden-decor-outdoor-lighting-012-02,prod-garden-decor-outdoor-lighting-012,GARDEN-DECOR-OUTDOOR-LIGHTING-012-POWER-WIRED,power,Wired,74.70,144
var-garden-decor-planters-001-01,prod-garden-decor-planters-001,GARDEN-DECOR-PLANTERS-001-SIZE-SMALL,size,Small,102.64,89
var-garden-decor-planters-001-02,prod-garden-decor-planters-001,GARDEN-DECOR-PLANTERS-001-SIZE-MEDIUM,size,Medium,102.64,161
var-garden-decor-planters-001-03,prod-garden-decor-planters-001,GARDEN-DECOR-PLANTERS-001-SIZE-LARGE,size,Large,102.64,139
var-garden-decor-planters-002-01,prod-garden-decor-planters-002,GARDEN-DECOR-PLANTERS-002-COLOR-TERRACOTTA,color,Terracotta,113.48,242
var-garden-decor-planters-002-02,prod-garden-decor-planters-002,GARDEN-DECOR-PLANTERS-002-COLOR-SAND,color,Sand,113.48,51
var-garden-decor-planters-002-03,prod-garden-decor-planters-002,GARDEN-DECOR-PLANTERS-002-COLOR-CHARCOAL,color,Charcoal,113.48,217
var-garden-decor-planters-003-01,prod-garden-decor-planters-003,GARDEN-DECOR-PLANTERS-003-SIZE-SMALL,size,Small,108.86,185
var-garden-decor-planters-003-02,prod-garden-decor-planters-003,GARDEN-DECOR-PLANTERS-003-SIZE-MEDIUM,size,Medium,108.86,91
var-garden-decor-planters-003-03,prod-garden-decor-planters-003,GARDEN-DECOR-PLANTERS-003-SIZE-LARGE,size,Large,108.86,163
var-garden-decor-planters-004-01,prod-garden-decor-planters-004,GARDEN-DECOR-PLANTERS-004-COLOR-TERRACOTTA,color,Terracotta,27.63,72
var-garden-decor-planters-004-02,prod-garden-decor-planters-004,GARDEN-DECOR-PLANTERS-004-COLOR-SAND,color,Sand,27.63,24
var-garden-decor-planters-004-03,prod-garden-decor-planters-004,GARDEN-DECOR-PLANTERS-004-COLOR-CHARCOAL,color,Charcoal,27.63,50
var-garden-decor-planters-005-01,prod-garden-decor-planters-005,GARDEN-DECOR-PLANTERS-005-SIZE-SMALL,size,Small,33.63,61
var-garden-decor-planters-005-02,prod-garden-decor-planters-005,GARDEN-DECOR-PLANTERS-005-SIZE-MEDIUM,size,Medium,33.63,79
var-garden-decor-planters-005-03,prod-garden-decor-planters-005,GARDEN-DECOR-PLANTERS-005-SIZE-LARGE,size,Large,33.63,86
var-garden-decor-planters-006-01,prod-garden-decor-planters-006,GARDEN-DECOR-PLANTERS-006-COLOR-TERRACOTTA,color,Terracotta,117.13,70
var-garden-decor-planters-006-02,prod-garden-decor-planters-006,GARDEN-DECOR-PLANTERS-006-COLOR-SAND,color,Sand,117.13,83
var-garden-decor-planters-006-03,prod-garden-decor-planters-006,GARDEN-DECOR-PLANTERS-006-COLOR-CHARCOAL,color,Charcoal,117.13,50
var-garden-decor-planters-007-01,prod-garden-decor-planters-007,GARDEN-DECOR-PLANTERS-007-SIZE-SMALL,size,Small,30.42,54
var-garden-decor-planters-007-02,prod-garden-decor-planters-007,GARDEN-DECOR-PLANTERS-007-SIZE-MEDIUM,size,Medium,30.42,206
var-garden-decor-planters-007-03,prod-garden-decor-planters-007,GARDEN-DECOR-PLANTERS-007-SIZE-LARGE,size,Large,30.42,190
var-garden-decor-planters-008-01,prod-garden-decor-planters-008,GARDEN-DECOR-PLANTERS-008-COLOR-TERRACOTTA,color,Terracotta,93.38,104
var-garden-decor-planters-008-02,prod-garden-decor-planters-008,GARDEN-DECOR-PLANTERS-008-COLOR-SAND,color,Sand,93.38,243
var-garden-decor-planters-008-03,prod-garden-decor-planters-008,GARDEN-DECOR-PLANTERS-008-COLOR-CHARCOAL,color,Charcoal,93.38,86
var-garden-decor-planters-009-01,prod-garden-decor-planters-009,GARDEN-DECOR-PLANTERS-009-SIZE-SMALL,size,Small,85.61,25
var-garden-decor-planters-009-02,prod-garden-decor-planters-009,GARDEN-DECOR-PLANTERS-009-SIZE-MEDIUM,size,Medium,85.61,156
var-garden-decor-planters-009-03,prod-garden-decor-planters-009,GARDEN-DECOR-PLANTERS-009-SIZE-LARGE,size,Large,85.61,145
var-garden-decor-planters-010-01,prod-garden-decor-planters-010,GARDEN-DECOR-PLANTERS-010-COLOR-TERRACOTTA,color,Terracotta,28.80,149
var-garden-decor-planters-010-02,prod-garden-decor-planters-010,GARDEN-DECOR-PLANTERS-010-COLOR-SAND,color,Sand,28.80,59
var-garden-decor-planters-010-03,prod-garden-decor-planters-010,GARDEN-DECOR-PLANTERS-010-COLOR-CHARCOAL,color,Charcoal,28.80,229
var-garden-decor-planters-011-01,prod-garden-decor-planters-011,GARDEN-DECOR-PLANTERS-011-SIZE-SMALL,size,Small,65.67,204
var-garden-decor-planters-011-02,prod-garden-decor-planters-011,GARDEN-DECOR-PLANTERS-011-SIZE-MEDIUM,size,Medium,65.67,73
var-garden-decor-planters-011-03,prod-garden-decor-planters-011,GARDEN-DECOR-PLANTERS-011-SIZE-LARGE,size,Large,65.67,192
var-garden-decor-planters-012-01,prod-garden-decor-planters-012,GARDEN-DECOR-PLANTERS-012-COLOR-TERRACOTTA,color,Terracotta,72.14,110
var-garden-decor-planters-012-02,prod-garden-decor-planters-012,GARDEN-DECOR-PLANTERS-012-COLOR-SAND,color,Sand,72.14,44
var-garden-decor-planters-012-03,prod-garden-decor-planters-012,GARDEN-DECOR-PLANTERS-012-COLOR-CHARCOAL,color,Charcoal,72.14,103
